NAME,DATE,PLANETDISCMETH,MASS,SEP,DIST
HAT-P-18 b,2011,Transit,0.197205,0.0559503,166
Kepler-357 b,2014,Transit,0.0135483,0.0679912,
Kepler-406 c,2014,Transit,0.00857506,0.0555527,
HD 155358 c,2007,RV,0.807031,1.00082,44.1112
WASP-43 b,2011,Transit,1.77609,0.0142363,80
Kepler-159 c,2014,Transit,0.0351084,0.242421,
Kepler-39 b,2011,Transit,18.1805,0.155007,1200.05
14 And b,2008,RV,4.68383,0.823151,79.1766
Kepler-215 b,2014,Transit,0.0120479,0.086925,
Kepler-294 b,2014,Transit,0.0130508,0.0468277,
Kepler-29 b,2011,Transit,0.0397121,0.0928723,
Kepler-24 b,2011,Transit,0.0185071,0.0800144,
Kepler-306 b,2014,Transit,0.0123086,0.0544926,
Kepler-83 b,2012,Transit,0.0240196,0.0778725,
81 Cet b,2008,RV,4.31096,2.28088,100.908
CoRoT-3 b,2008,Transit,21.8549,0.0573788,833.333
Kepler-377 b,2014,Transit,0.00915403,0.105463,
Kepler-126 d,2014,Transit,0.0196646,0.422434,
HAT-P-38 b,2012,Transit,0.267569,0.0522992,249.339
Kepler-18 d,2011,Transit,0.0516,0.117171,
Kepler-380 b,2014,Transit,0.00538981,0.0487448,
Kepler-132 d,2014,Transit,0.011604,0.134468,
Kepler-228 b,2014,Transit,0.0125754,0.0366865,
mu Ara e,2007,RV,0.543322,0.93961,15.5111
Kepler-97 b,2014,Transit,0.0106941,0.036125,
Kepler-139 b,2014,Transit,0.0258466,0.123078,
Kepler-375 b,2014,Transit,0.010538,0.103296,
HD 136118 b,2002,RV,11.6809,2.33328,46.5766
Kepler-182 b,2014,Transit,0.0206381,0.0897811,
HD 6434 b,2004,RV,0.397195,0.142061,41.3736
HD 5319 b,2007,RV,1.6984,1.63515,114.416
Kepler-306 e,2014,Transit,0.0171819,0.247015,
Kepler-253 b,2014,Transit,0.0121124,0.0475233,
Kepler-259 b,2014,Transit,0.0236491,0.0790333,
HD 231701 b,2007,RV,1.08667,0.555583,118.483
PH-2 b,2013,Transit,0.488198,0.825444,
CoRoT-18 b,2011,Transit,3.48652,0.0295483,869.996
Kepler-203 d,2014,Transit,0.0102988,0.0987232,
HD 75898 b,2007,RV,2.51504,1.18906,75.7576
Kepler-224 b,2014,Transit,0.00915403,0.0419025,
Kepler-205 b,2014,Transit,0.0120453,0.038467,
MOA-2008-BLG-310L b,2010,Microlensing,0.23,1.25,
KIC 11442793 g,2013,Transit,0.217563,0.736177,780
GJ 1214 b,2009,Transit,0.0203507,0.0143253,12.9534
Kepler-268 c,2014,Transit,0.0344212,0.373719,
